BHID,FROM,TO,AU,CU,DENSITY
VB4282,240.11540222,241.61540222,0.79000002,0.80000001,3.57999992
VB4282,241.61540222,243.41540527,-,-,3.27999997
VB4282,243.41540527,243.77540588,-,-,3.27999997
VB4282,243.77540588,256.57540894,-,-,3.28999996
VB4283,108.23470306,174.03469849,-,-,2.91000009
VB4283,174.03469849,174.73469543,2.86999989,1.70000005,-
VB4283,174.73469543,176.73469543,2.02999997,1.29999995,-
VB4283,176.73469543,178.73469543,1.82000005,1.29999995,-
VB4283,178.73469543,180.73469543,1.25999999,1,-
VB4283,180.73469543,182.73469543,1.25999999,1,-
VB4283,182.73469543,184.73469543,0.63,0.69999999,-
VB4283,184.73469543,186.73469543,0.34999999,0.5,-
VB4283,186.73469543,188.73469543,0.63,0.69999999,-
VB4283,188.73469543,190.73469543,2.73000002,1.89999998,2.80999994
VB4283,192.73469543,194.73469543,0.12,0.40000001,2.8900001
VB4283,194.73469543,196.73469543,0.14,0.40000001,2.8900001
VB4283,196.73469543,198.73469543,0.47,0.60000002,3.1400001
VB4283,198.73469543,200.73469543,0.79000002,0.80000001,3.61999989
VB4283,200.73469543,202.73469543,0.93000001,0.89999998,3.77999997
VB4283,202.73469543,204.73469543,1.24000001,1.10000002,4.15999985
VB4283,204.73469543,206.73469543,1.22000003,1.10000002,4.15999985
VB4283,206.73469543,208.73469543,1.23000002,1.10000002,4.15999985
VB4283,208.73469543,210.73469543,0.25,0.40000001,2.8900001
VB4283,210.73469543,212.73469543,0.93000001,0.89999998,3.79999995
VB4283,212.73469543,214.43469238,0.07,-,3.28999996
VB4283,214.43469238,223.13470459,-,-,3.29999995
VB4285,143.50019836,226.80020142,-,-,2.91000009
VB4285,226.80020142,228.50019836,2.0999999,1.60000002,4.32000017
VB4285,228.50019836,230.50019836,1.82000005,1.39999998,4.25
VB4285,230.50019836,232.50019836,-,-,2.93000007
VB4285,232.50019836,234.50019836,-,-,3.01999998
VB4285,234.50019836,236.50019836,0.34999999,0.5,3.81999993
VB4285,236.50019836,236.80020142,0.28,0.40000001,3.74000001
VB4285,236.80020142,238.50019836,0.28,0.40000001,-
VB4285,238.50019836,240.50019836,0.14,-,-
VB4285,240.50019836,242.50019836,0.28,0.40000001,-
VB4285,242.50019836,244.50019836,0.14,-,-
VB4285,244.50019836,246.50019836,3.71000004,3,3.18000007
VB4285,246.50019836,248.50019836,0.56,0.69999999,3.29999995
VB4285,248.50019836,250.50019836,0.14,-,2.17000008
VB4285,250.50019836,252.50019836,0.28,0.40000001,2.9000001
VB4285,252.50019836,254.50019836,0.98000002,1,3.95000005
VB4285,254.50019836,256.50021362,0.63,0.69999999,3.30999994
VB4285,256.50021362,258.50021362,0.56,0.69999999,3.30999994
VB4285,258.50021362,260.50021362,1.96000004,1.89999998,4.53999996
VB4285,260.50021362,262.50021362,2.17000008,2.0999999,4.55999994
VB4285,262.50021362,264.50021362,0.62,0.69999999,3.30999994
VB4285,264.50021362,266.50021362,1.51999998,1.5,4.42000008
VB4285,266.50021362,268.50021362,0.17,-,2.18000007
VB4285,268.50021362,270.50021362,0.2,0.40000001,2.9000001
VB4285,270.50021362,272.50021362,0.37,0.5,2.99000001
VB4285,272.50021362,274.50021362,1.12,1.20000005,4.25
VB4285,274.50021362,276.50021362,1.07000005,1.20000005,4.25
VB4285,276.50021362,278.50021362,0.52999997,0.69999999,3.3499999
VB4285,278.50021362,280.50021362,0.81,1,3.95000005
VB4285,280.50021362,282.50021362,0,0.60000002,3.74000001
VB4285,282.50021362,284.50021362,-,-,3.29999995
VB4285,284.50021362,286.50021362,-,-,3.29999995
VB4285,286.50021362,288.00021362,-,-,3.29999995
VB4286,107.79759979,171.99760437,-,-,3.07999992
VB4286,171.99760437,174.29760742,6.57999992,3.4000001,3.3900001
VB4286,174.29760742,176.29760742,6.30000019,3.4000001,3.41000009
VB4286,176.29760742,178.29760742,1.53999996,1.10000002,-
VB4286,178.29760742,180.29760742,1.88999999,1.29999995,-
VB4286,180.29760742,182.29760742,2.66000009,1.70000005,-
VB4286,182.29760742,184.29760742,1.04999995,0.89999998,-
VB4286,184.29760742,186.29760742,0.69999999,0.69999999,-
VB4286,186.29760742,188.29760742,0.83999997,0.80000001,-
VB4286,188.29760742,190.29760742,0.49000001,0.60000002,-
VB4286,190.29760742,192.29760742,0.41999999,0.5,-
VB4286,192.29760742,194.29760742,0.28,0.5,-
VB4286,194.29760742,196.29760742,0.83999997,0.80000001,-
VB4286,196.29760742,198.29760742,1.88999999,1.5,-
VB4286,198.29760742,200.29760742,1.75,1.39999998,-
VB4286,200.29760742,202.29760742,2.94000006,2.20000005,2.94000006
VB4286,202.29760742,204.29760742,1.39999998,1.20000005,-
VB4286,204.29760742,206.29760742,2.86999989,2.29999995,2.98000002
VB4286,206.29760742,208.29760742,7.48999977,5.5999999,3.77999997
VB4286,208.29760742,210.29760742,0.33000001,0.5,2.99000001
VB4286,210.29760742,212.29760742,0.82999998,0.80000001,3.61999989
VB4286,212.29760742,214.29760742,1.38999999,1.29999995,4.32999992
VB4286,214.29760742,216.29760742,1.13,1.10000002,4.17000008
VB4286,216.29760742,218.29760742,1.46000004,1.39999998,4.36000013
VB4286,218.29760742,220.29760742,1.14999998,1.10000002,4.17000008
VB4286,220.29760742,222.29760742,1.39999998,1.39999998,4.36999989
VB4286,222.29760742,224.29760742,1.27999997,1.29999995,4.32999992
VB4286,224.29760742,226.29760742,0.83999997,0.89999998,3.81999993
VB4286,226.29760742,228.49760437,1.35000002,1.39999998,4.36999989
VB4286,228.49760437,235.89759827,-,-,3.30999994
VB4287,96.31549072,199.21549988,-,-,3.07999992
VB4287,199.21549988,199.41549683,-,-,3.07999992
VB4287,199.41549683,200.31550598,3.3599999,2.70000005,3.08999991
VB4287,200.31550598,202.31550598,1.12,1.10000002,-
VB4287,202.31550598,204.31550598,5.88000011,4.69999981,3.67000008
VB4287,204.31550598,206.31550598,4.34000015,3.5999999,3.45000005
VB4287,206.31550598,208.31550598,0.49000001,0.60000002,-
VB4287,208.31550598,210.31550598,1.82000005,1.70000005,-
VB4287,210.31550598,212.31550598,0.34999999,0.5,2.99000001
VB4287,212.31550598,214.31550598,2.17000008,2,4.55000019
VB4287,214.31550598,216.31550598,1.04999995,1.10000002,4.17000008
VB4287,216.31550598,218.31550598,1.04999995,1.10000002,4.17999983
VB4287,218.31550598,220.31550598,0.56,0.69999999,3.3499999
VB4287,220.31550598,222.31550598,0.69999999,0.80000001,3.61999989
VB4287,222.31550598,224.31550598,0.91000003,1,3.96000004
VB4287,224.31550598,226.31550598,1.82000005,1.79999995,4.51000023
VB4287,226.31550598,228.31550598,0.76999998,0.89999998,3.81999993
VB4287,228.31550598,230.31550598,0.41999999,0.60000002,3.1400001
VB4287,230.31550598,232.31550598,0.69999999,0.80000001,3.61999989
VB4287,232.31550598,234.31550598,1.39999998,1.5,4.05999994
VB4287,234.31550598,236.31550598,1.39999998,1.5,4.07000017
VB4287,236.31550598,238.31550598,3.56999993,3.70000005,4.53999996
VB4287,238.31550598,240.31550598,-,-,3.30999994
VB4287,240.31550598,242.31550598,-,-,3.31999993
VB4287,242.31550598,244.31550598,-,-,3.3599999
VB4287,244.31550598,246.31550598,-,-,3.3900001
VB4287,246.31550598,248.31550598,-,-,3.4000001
VB4287,248.31550598,250.31550598,-,-,3.4000001
VB4287,250.31550598,252.31550598,-,-,3.42000008
VB4287,252.31550598,254.31550598,-,-,3.44000006
VB4287,254.31550598,256.31549072,-,-,3.44000006
VB4287,256.31549072,258.01550293,-,-,3.45000005
VB4288,153.84159851,233.94160461,-,-,3.08999991
VB4288,233.94160461,235.84159851,4.76000023,3.0999999,3.23000002
VB4288,235.84159851,237.84159851,1.47000003,1.20000005,-
VB4288,237.84159851,239.84159851,1.19000006,1,-
VB4288,239.84159851,241.84159851,2.58999991,1.89999998,2.83999991
VB4288,241.84159851,243.84159851,1.12,1,-
VB4288,243.84159851,245.84159851,1.19000006,1.10000002,-
VB4288,245.84159851,247.84159851,0.69999999,0.69999999,-
VB4288,247.84159851,249.84159851,0.69999999,0.69999999,-
VB4288,249.84159851,251.84159851,1.39999998,1.20000005,-
VB4288,251.84159851,253.84159851,2.30999994,1.89999998,2.8499999
VB4288,253.84159851,255.84159851,1.04999995,1,-
VB4288,255.84159851,257.84161377,1.19000006,1.10000002,-
VB4288,257.84161377,259.84161377,0.14,-,-
VB4288,259.84161377,261.84161377,0.76999998,0.80000001,-
VB4288,261.84161377,263.84161377,1.88999999,1.70000005,-
VB4288,263.84161377,265.84161377,2.94000006,2.5999999,3.08999991
VB4288,265.84161377,267.84161377,1.47000003,1.39999998,4.38000011
VB4288,267.84161377,269.84161377,-,-,2.18000007
VB4288,269.84161377,271.84161377,-,-,2.5999999
VB4288,271.84161377,273.84161377,0.30000001,0.5,3.01999998
VB4288,273.84161377,275.84161377,0.79000002,0.89999998,3.81999993
VB4288,275.84161377,276.84161377,0.94999999,1,3.96000004
VB4288,276.84161377,278.84161377,-,-,2.6099999
VB4288,278.84161377,279.84161377,1.80999994,1.79999995,4.51999998
VB4288,279.84161377,281.84161377,1.33000004,1.39999998,4.38000011
VB4288,281.84161377,283.84161377,0.79000002,0.89999998,3.81999993
VB4288,283.84161377,285.64160156,0.67000002,0.80000001,3.74000001
VB4289,125.60910034,200.50909424,-,-,3.08999991
VB4289,200.50909424,203.10910034,3.3599999,2.20000005,2.96000004
VB4289,203.10910034,205.10910034,4.96999979,3.0999999,3.25
VB4289,205.10910034,207.10910034,0.98000002,0.89999998,-
VB4289,207.10910034,209.10910034,0.91000003,0.80000001,-
VB4289,209.10910034,211.10910034,0.76999998,0.80000001,-
VB4289,211.10910034,213.10910034,0.91000003,0.80000001,-
VB4289,213.10910034,215.10910034,0.41999999,0.5,-
VB4289,215.10910034,217.10910034,1.39999998,1.20000005,-
VB4289,217.10910034,219.10910034,1.82000005,1.5,-
VB4289,219.10910034,221.10910034,1.12,1,-
VB4289,221.10910034,223.10910034,1.19000006,1.10000002,-
VB4289,223.10910034,225.10910034,2.30999994,1.89999998,2.85800004
VB4289,225.10910034,227.10910034,3.5,2.79999995,3.1400001
VB4289,227.10910034,229.10910034,3.71000004,3,3.21000004
VB4289,229.10910034,229.80909729,0.17,0.40000001,-
VB4289,229.80909729,231.10910034,0.17,0.40000001,2.9000001
VB4289,231.10910034,233.10910034,0.52999997,0.60000002,3.1500001
VB4289,233.10910034,235.70910645,0.88999999,0.89999998,3.83999991
VB4289,235.70910645,238.10910034,-,-,3.45000005
VB4290,128.92869568,201.92869568,-,-,3.0999999
VB4290,201.92869568,202.92869568,-,-,3.0999999
VB4290,202.92869568,204.92869568,6.78999996,4,3.6099999
VB4290,204.92869568,206.92869568,5.38999987,3.29999995,3.32999992
VB4290,206.92869568,208.92869568,1.61000001,1.20000005,-
VB4290,208.92869568,210.92869568,5.25,3.4000001,3.41000009
VB4290,210.92869568,212.92869568,2.30999994,1.70000005,-
VB4290,212.92869568,214.92869568,3.00999999,2.0999999,2.8900001
VB4290,214.92869568,216.92869568,3.07999992,2.20000005,2.96000004
VB4290,216.92869568,218.92869568,0.76999998,0.80000001,-
VB4290,218.92869568,220.92869568,2.79999995,2.0999999,2.92000008
VB4290,220.92869568,222.92869568,0.69999999,0.69999999,-
VB4290,222.92869568,224.92869568,2.02999997,1.60000002,-
VB4290,226.92869568,228.92869568,0.34,0.5,-
VB4290,228.92869568,230.92869568,0.97000003,0.89999998,-
VB4290,230.92869568,232.92869568,0.97000003,1,3.99000001
VB4290,232.92869568,234.92869568,1.24000001,1.20000005,4.25
VB4290,234.92869568,236.92869568,1.41999996,1.29999995,4.3499999
VB4290,236.92869568,238.92869568,0.97000003,1,4.01000023
VB4290,238.92869568,240.92869568,1.01999998,1,4.01000023
VB4290,240.92869568,245.22869873,-,-,2.63000011
VB4290,245.22869873,253.22869873,-,-,3.45000005
VB4291,113.7437973,181.94380188,-,-,3.0999999
VB4291,181.94380188,184.24380493,-,-,3.0999999
VB4291,184.24380493,186.24380493,-,-,3.1400001
VB4291,186.24380493,187.54379272,-,-,3.1400001
VB4291,187.54379272,188.74380493,-,-,3.1500001
VB4291,188.74380493,190.24380493,-,-,3.1500001
VB4291,190.24380493,192.24380493,-,-,3.21000004
VB4291,192.24380493,194.24380493,-,-,3.23000002
VB4291,194.24380493,196.24380493,-,-,3.24000001
VB4291,196.24380493,198.24380493,-,-,3.25
VB4291,198.24380493,200.24380493,-,-,3.28999996
VB4291,200.24380493,202.24380493,-,-,3.30999994
VB4291,202.24380493,204.24380493,-,-,3.30999994
VB4291,204.24380493,206.24380493,-,-,3.30999994
VB4291,206.24380493,208.24380493,-,-,3.3499999
VB4291,208.24380493,210.24380493,1.25999999,1.10000002,-
VB4291,210.24380493,212.24380493,1.61000001,1.39999998,-
VB4291,212.24380493,214.24380493,3.07999992,2.4000001,3.02999997
VB4291,214.24380493,216.24380493,10.98999977,8.19999981,3.82999992
VB4291,216.24380493,218.24380493,17.29000092,13.10000038,3.8900001
VB4291,218.24380493,220.24380493,29.95999908,22.89999962,4.32999992
VB4291,220.24380493,222.24380493,26.87999916,21,4.21000004
VB4291,222.24380493,224.24380493,0.67000002,0.69999999,3.3900001
VB4291,224.24380493,226.24380493,0.47,0.60000002,3.1500001
VB4291,226.24380493,228.24380493,0.58999997,0.69999999,3.3900001
VB4291,228.24380493,230.24380493,0.56,0.69999999,3.41000009
VB4291,230.24380493,232.24380493,0.75999999,0.80000001,3.6500001
VB4291,232.24380493,234.24380493,0.08,-,2.6500001
VB4291,234.24380493,236.24380493,0.47999999,0.60000002,3.16000009
VB4291,236.24380493,238.24380493,0.38,0.5,3.01999998
VB4291,238.24380493,240.24380493,-,-,2.73000002
VB4291,240.24380493,242.24380493,-,-,2.74000001
VB4291,242.24380493,244.24380493,-,-,3.48000002
VB4291,244.24380493,246.24380493,0.09,-,3.48000002
VB4291,246.24380493,248.74380493,-,-,3.48000002
VB4291,248.74380493,261.04379272,-,-,3.48000002
VB4291,261.04379272,262.74380493,-,-,3.5
VB4291,262.74380493,263.24380493,-,-,3.5
VB4291,263.24380493,267.44378662,-,-,3.50999999
VB4292,146.31410217,250.11410522,-,-,3.3499999
VB4292,250.11410522,251.11410522,5.5999999,4.4000001,4.40999985
VB4292,251.11410522,253.11410522,2.45000005,2.0999999,2.92000008
VB4292,253.11410522,255.11410522,1.47000003,1.39999998,-
VB4292,255.11410522,257.11410522,2.17000008,1.89999998,2.8599999
VB4292,257.11410522,259.11410522,2.51999998,2.20000005,2.97000003
VB4292,259.11410522,261.11410522,0.83999997,0.89999998,-
VB4292,261.11410522,263.11410522,2.0999999,1.89999998,2.8599999
VB4292,263.11410522,265.11410522,0.76999998,0.80000001,-
VB4292,265.11410522,267.11410522,2.66000009,2.5,3.05999994
VB4292,267.11410522,269.11410522,2.24000001,2.0999999,2.93000007
VB4292,269.11410522,271.11410522,3.1500001,3,3.21000004
VB4292,271.11410522,273.11410522,1.67999995,1.70000005,4.48999977
VB4292,273.11410522,275.11410522,0.83999997,0.89999998,3.8499999
VB4292,275.11410522,277.11410522,1.33000004,1.39999998,4.38999987
VB4292,277.11410522,279.11410522,1.25999999,1.39999998,4.4000001
VB4292,279.11410522,281.11410522,1.61000001,1.70000005,4.48999977
VB4292,281.11410522,283.11410522,1.96000004,2.0999999,4.57000017
VB4292,283.11410522,285.11410522,2.0999999,2.20000005,4.59000015
VB4292,285.11410522,287.11410522,2.94000006,3.0999999,4.6500001
VB4292,287.11410522,289.11410522,2.17000008,2.29999995,4.61000013
VB4292,289.11410522,291.11410522,-,-,3.52999997
VB4292,291.11410522,293.11410522,-,-,3.54999995
VB4292,293.11410522,295.11410522,-,-,3.56999993
VB4292,295.11410522,297.11410522,-,-,3.56999993
VB4292,297.11410522,299.11410522,-,-,3.56999993
VB4292,299.11410522,301.11410522,-,-,3.61999989
VB4292,301.11410522,303.11410522,-,-,3.61999989
VB4292,303.11410522,305.11410522,-,-,3.67000008
VB4292,305.11410522,306.11410522,-,-,3.69000006
VB4292,306.11410522,308.11410522,-,-,3.72000003
VB4293,125.58319855,221.48320007,-,-,3.47000003
VB4293,221.48320007,222.78320313,4.96999979,3.70000005,3.45000005
VB4293,222.78320313,224.78320313,3.5,2.70000005,3.08999991
VB4293,224.78320313,226.78320313,2.86999989,2.29999995,3
VB4293,226.78320313,228.78320313,2.58999991,2.0999999,2.93000007
VB4293,228.78320313,230.78320313,4.40999985,3.5,3.45000005
VB4293,230.78320313,232.78320313,2.24000001,1.89999998,2.8599999
VB4293,232.78320313,234.78320313,0.91000003,0.89999998,-
VB4293,234.78320313,236.78320313,0.49000001,0.60000002,-
VB4293,236.78320313,238.78320313,1.39999998,1.29999995,-
VB4293,238.78320313,240.78320313,2.0999999,1.89999998,2.86999989
VB4293,240.78320313,242.78320313,1.19000006,1.20000005,-
VB4293,242.78320313,244.78320313,1.53999996,1.5,-
VB4293,244.78320313,246.78320313,1.39999998,1.39999998,-
VB4293,246.78320313,248.78320313,3.1500001,2.9000001,3.17000008
VB4293,248.78320313,250.78320313,2.86999989,2.70000005,3.13000011
VB4293,250.78320313,252.78320313,2.02999997,2,4.55999994
VB4293,252.78320313,254.78320313,0.05,-,2.74000001
VB4293,254.78320313,256.78320313,0.03,-,2.75
VB4293,256.78320313,258.78320313,-,-,2.75999999
VB4293,258.78320313,260.78320313,0.47,0.60000002,3.16000009
VB4293,260.78320313,262.78320313,0.44999999,0.60000002,3.21000004
VB4293,262.78320313,265.28320313,0.34,0.5,3.01999998
VB4293,265.28320313,277.68319702,-,-,3.72000003
VB4294,112.52670288,199.02670288,-,-,3.72000003
VB4294,199.02670288,200.02670288,5.73999977,3.79999995,4.38000011
VB4294,200.02670288,202.02670288,9.72999954,6.4000001,4.65999985
VB4294,202.02670288,204.02670288,1.12,1,-
VB4294,204.02670288,206.02670288,1.61000001,1.29999995,-
VB4294,206.02670288,208.02670288,1.75,1.39999998,-
VB4294,208.02670288,210.02670288,4.34000015,3.20000005,3.28999996
VB4294,210.02670288,212.02670288,2.24000001,1.79999995,2.79999995
VB4294,212.02670288,214.02670288,1.25999999,1.10000002,-
VB4294,214.02670288,216.02670288,4.05999994,3.20000005,3.30999994
VB4294,216.02670288,218.02670288,0.34999999,0.5,3.05999994
VB4294,218.02670288,220.02670288,-,-,2.76999998
VB4294,220.02670288,222.02670288,0.70999998,0.80000001,3.67000008
VB4294,222.02670288,224.02670288,1.35000002,1.29999995,4.3499999
VB4294,224.02670288,226.02670288,1.20000005,1.20000005,4.25
VB4294,226.02670288,228.02670288,1.15999997,1.20000005,4.25
VB4294,228.02670288,230.02670288,0.25999999,0.40000001,3.74000001
VB4294,230.02670288,231.52670288,-,-,3.72000003
VB4294,231.52670288,235.62669373,-,-,3.74000001
VB4295,100.40570068,184.00570679,-,-,3.74000001
VB4295,184.00570679,185.80569458,1.04999995,0.89999998,3.81999993
VB4295,185.80569458,187.80569458,1.12,1,-
VB4295,187.80569458,189.80569458,1.61000001,1.29999995,-
VB4295,189.80569458,191.80569458,1.75,1.39999998,-
VB4295,191.80569458,193.80569458,1.75,1.39999998,-
VB4295,193.80569458,195.80569458,2.0999999,1.70000005,-
VB4295,195.80569458,197.80569458,1.25999999,1.10000002,-
VB4295,197.80569458,199.80569458,1.19000006,1.10000002,-
VB4295,199.80569458,201.80569458,1.82000005,1.5,4.44999981
VB4295,201.80569458,203.80569458,2.17000008,1.79999995,4.53000021
VB4295,203.80569458,205.80569458,2.73000002,2.29999995,4.61999989
VB4295,205.80569458,207.80569458,0.27000001,0.40000001,2.97000003
VB4295,207.80569458,209.30569458,1.02999997,1,4.03000021
VB4295,209.30569458,210.60569763,-,-,3.74000001
VB4295,210.60569763,212.30569458,0.61000001,0.69999999,3.74000001
VB4295,212.30569458,228.80569458,-,-,3.74000001
